标题,朝代,作者,体裁,内容
﻿七夕长短言,金,朱之才,古风,牛不可以服箱，女不可以成章。其名则然实岂尔，政如箕斗难挹扬。河汉特水象，安有波浪为津航。惟鹊乃巢居，讵能上天搆桥梁。星经有躔次，东西永相望。今夕复何夕，乃谓合并如鸾皇。一人唱诞惑万世，浪令儿女争猖狂。瓠牛载槃何等秩，金梭掷地殊荒唐。吾命有贵贱，吾性本直方。探官与乞巧，是岂吾所臧。何如举酒邀明月，更遣清风屏炎热。星光落盏黄金空，露华糁袂真珠滑。我方幕天席地醉兀兀，痴牛騃女知何物。
﻿水月有兴,金,朱之才,古风,明月落湖水，天渊体俱一。浩荡碧琉璃，奁此寒玉璧。微风触湖波，合散作六七。浮光逐水纹，金蛇势盘结。人心湛寂初，与月同清质。外累一汩之，万态纷殊迹。因知养心者，无为风浪失。
﻿出塞,金,邢具瞻,七言绝句,楼外青山半夕阳，寒鸦翻墨点林霜。平沙细草三千里，一笛西风人断肠。
﻿导引 天眷三年九月驾幸燕京导引曲无射宫,金,邢具瞻,词,五年一狩，仙仗到人间。问稼穑艰难。苍生洗眼秋光里，今日见天颜。金戈玉斧临香火，驰道六龙閒。歌谣到处皆相似，天子寿南山。
﻿杨花,金,邢安国,七言律诗,细点轻团转复飘，隋家堤岸灞陵桥。非绵非絮寒无用，如雪如霜暖不消。狂惹客衣知有恨，巧寻禅榻故相撩。陂塘回首浮萍满，依旧春风摆翠条。
﻿过唐州西李口,金,邢安国,七言绝句,白沙翠竹溪上村，渔家卖鱼唤行人。西风吹皱一溪水，水光日影金鳞鳞。
﻿宴会成趣园诗,金,初昌绍,七言律诗,近郊风物小斜川，竹树阴阴昼掩门。奉已乐天无妓妾，退居元亮有田园。静中身与世俱弃，妙处心知口莫言。曾到君家北窗下，空凉真可卧羲轩。
﻿颂,金,吕道安,偈颂,平生不解道诗篇，锹钁为朋四十年。稍通阴符三千字，粗明道德五千言。般般放下般般悟，物物俱忘物物捐。此去不遭闫老唤，今朝惟待玉皇宣。
﻿送李嘉甫信都令耘甫之弟,金,吕中孚,五言律诗,溪水碧于草，溪边送客行。写诗传别意，把酒听歌声。去路青天远，归心白羽轻。尊前折杨柳，一一是离情。
﻿写怀,金,吕中孚,五言律诗,秦川西去远，不意过漳川。归梦三千里，羁愁二十年。谋生空白发，行路若青天。馀事休相问，相留只醉眠。
﻿小景,金,吕中孚,七言绝句,青芜平野四围山，山郭依依紫翠间。村远路长人去少，一竿斜日酒旗閒。
﻿春月,金,吕中孚,七言绝句,柳塘漠漠暗啼鸦，一镜晴飞玉有华。好是夜阑人不寐，半庭寒影在梨花。
﻿水声,金,吕中孚,七言绝句,长陂千顷碧淙淙，浪卷秋风过石矼。记得夜来愁听处，一灯明灭照寒窗。
﻿雪,金,吕中孚,七言绝句,随风拂拂玉花飘，入夜寒窗更寂寥。炉火已残灯未烬，一帘疏竹白萧萧。
﻿梨花,金,吕中孚,七言绝句,等待清明得得芳，团枝晴雪暖生香。洗妆自有风流态，却笑红深睡海棠。
﻿集句,金,吕中孚,七言绝句,骚人吟罢起乡愁，百感中来不自由。一种人间太平日，满衣尘土避公侯。
﻿柳,金,吕中孚,七言绝句,风外丝丝袅绿烟，轻花初破不成绵。却嫌官路逢寒食，恼乱离愁似去年。
﻿夏日,金,吕大鹏,七言绝句,旋移石枕拂藤床，细洒槐阴趁晚凉。大地嗷嗷困炉鼎，老天不肯下残阳。
﻿广平道中,金,吕子羽,五言律诗,风色著黧面，霜华侵老须。昏埃埋故驿，积雪缟脩途。冻岫新诗句，寒林古画图。夜寒孤月上，天地一冰壶。
﻿宿章义广胜寺,金,吕子羽,五言律诗,小邑本无事，我来劳简书。路长频问马，人静厌烹鱼。钟冷僧参外，灯残客梦馀。此心谁领会，松月夜窗虚。
﻿至日,金,吕子羽,五言律诗,岁晏多风雪，官閒深屋庐。小诗穷则变，美酒数斯疏。未草归田赋，空翻引睡书。窗明添眼力，已觉日光舒。
﻿李白醉归图,金,吕子羽,七言绝句,春风醉袖玉山颓，落魄长安酒肆回。忙煞中官寻不得，沉香亭北牡丹开。
﻿还紫云寺素扇且题诗其上,金,宋楫,七言绝句,吴绫便面小团团，信手拈来亦厚颜。障尽驿尘三十里，却还明月紫云间。
﻿庭槐,金,宋楫,七言绝句,庭槐先人手所植，再世清阴方满台。惭愧儿孙种桃李，花枝准拟当年开。
﻿馆中纳凉书事,金,宋九嘉,七言律诗,凉洒尘缨聩耳醒，虚堂窈渺好风清。雀知爱子来回哺，鼠不畏人旁午行。每用熟眠酬阒寂，端知固有享高明。宦游非不佳官府，奔走尘劳漫一生。
﻿途中书事三首 其一 ,金,宋九嘉,七言绝句,幼稚扶轮妇挽辕，连颠翁媪抱诸孙。饥民羸卒如流水，掘尽原头野荠根。
﻿途中书事三首 其二 ,金,宋九嘉,七言绝句,老稚扶携访熟乡，驿尘满路殣相望。终朝拾穗不盈把，只有流民如麦芒。
﻿途中书事三首 其三 ,金,宋九嘉,七言绝句,攘丝夺麦人争略，烘日吹风天有年。汤饼元非小人腹，茧丝都作大夫贤。
﻿东州有感,金,宋九嘉,七言绝句,东城衰草没黄沙，故垒周遭小范衙。收竖那知真老子，龟趺系马卧吹笳。
﻿被檄从军,金,宋九嘉,七言绝句,不巾不袜柳阴行，朝醉南村莫北庄。一旦捉将官里去，直驱盲马阵中央。
﻿留别孙俊民姚公茂,金,宋九嘉,七言绝句,草根残日射离觞，主席风生热肺肠。此去兜零红照夜，输君吹笛傍糟床。
﻿酴醾菊,金,宋九嘉,七言绝句,酴醾风味醺人醉，著莫东篱爱酒翁。一夜金英全换骨，冷香晴雪满秋风。
﻿莲社图,金,宋九嘉,七言绝句,野鹜家鸡俗好乖，虎溪泉石满尘埃。壮哉砥柱颓波里，惟有渊明挽不来。
﻿卯酒,金,宋九嘉,七言绝句,腊蚁初浮社瓮篘，宿酲正渴卯时投。醉乡兀兀陶陶里，底事形骸底事愁。
﻿题李白泛月图,金,宋九嘉,七言绝句,江心月影尽一掬，船头月影尽一吸。夜凉风露点宫袍，天地之间一李白。
﻿捣金明砦作建除体,金,宋九嘉,古风,建牙誓诸将，枭鸣军尽惊。除道非战事，衔枚幻奇兵。满铠霜日辉，行阵寂无声。平旦飞出谷，桑枣蔽金明。定知此陈迹，中原遮寇城。执鞭吾不及，范公凛如生。破碑字仍在，屃赑卧深荆。危襟按其垒，信哉天下英。成败翻覆手，狐兔今横行。收复会有时，夷吾当请缨。开图睨督亢，按剑逐长鲸。闭塞亦巳久，一挥氛曀清。
﻿河阴望河朔感寓一首,金,宋景萧,七言律诗,南来边报日骎骎，思禹亭高泪满襟。野烧为谁留白草，荒城空自隔疏林。雁声不断天连水，山色无情古又今。离合兴亡只如此，往年争识少陵心。
﻿春雪用上官明之韵,金,宋景萧,七言绝句,啑啑春虫闹扑窗，地炉茶鼎蚓声长。诗中有味清于酒，只欠冰梢数点香。
﻿过汝阴作,金,完颜亮,七言律诗,门掩黄昏染绿苔，那回踪迹半尘埃。空庭日莫鸟争笑，幽径草深人未来。数仞假山当户牖，一池春水绕楼台。繁花不识兴亡地，犹倚阑干次第开。
﻿以事出使道驿有竹辄咏之,金,完颜亮,七言绝句,孤驿潇潇竹一丛，不同凡卉媚东风。我心正与君相似，只待云梢拂碧空。
﻿书壁述怀,金,完颜亮,七言绝句,蛟龙潜匿隐沧波，且与虾蟆作混和。等待一朝头角就，撼摇霹雳震山河。
﻿见几间有岩桂植瓶中索笔赋,金,完颜亮,七言绝句,绿叶枝头金缕装，秋深自有别般香。一朝扬汝名天下，也学君王著赭黄。
﻿南征至维扬望江左,金,完颜亮,七言绝句,万里车书尽会同，江南岂有别疆封。屯兵百万西湖上，立马吴山第一峰。
﻿念奴娇,金,完颜亮,词,天丁震怒，掀翻银海，散乱珠箔。六出奇花飞滚滚，平填了、山中丘壑。皓虎颠狂，素麟猖獗，掣断真珠索。玉龙酣战，鳞甲满天飘落。谁念万里关山，征夫僵立，缟带占旗脚。色映戈矛，光摇剑戟，杀气横戎幕。貔虎豪雄，偏裨真勇，非与谈兵略。须拚一醉，看取碧空寥廓。
﻿昭君怨 雪,金,完颜亮,词,昨日樵村渔浦。今日琼川银渚。山色捲帘看。老峰峦。锦帐美人贪睡。不觉天孙剪水。惊问是杨花。是芦花。
﻿喜迁莺 赐大将军韩夷耶,金,完颜亮,词,旌麾初举。正駃騠力健，嘶风江渚。射虎将军，落雕都尉，绣帽锦袍翘楚。怒磔戟髯，争奋捲地，一声鼙鼓。笑谈顷，指长江齐楚，六师飞渡。此去。无自堕，金印如斗，独在功名取。断锁机谋，垂鞭方略，人事本无今古。试展卧龙韬韫，果见成功旦莫。问江左，想云霓望切，玄黄迎路。
﻿鹊桥仙 待月,金,完颜亮,词,停杯不举，停歌不发，等候银蟾出海。不知何处片云来，做许大、通天障碍。虬髯撚断，星眸睁裂，唯恨剑锋不快。一挥截断紫云腰，仔细看、嫦娥体态。
﻿本朝乐曲,金,完颜雍,古风,猗欤我祖，圣矣武元。诞膺明命，功光于天。拯溺救焚，深根固蒂。克开我后，传福万世。无何海陵，淫昏多罪。反易天道，荼毒海内。自昔肇基，至于继体。积累之业，沦胥且坠。望戴所归，不谋同意。宗庙至重，人心难拒。勉副乐推，肆予嗣绪。二十四年，兢业万几。亿兆庶姓，怀保安绥。国家閒暇，廓然无事。乃眷上都，兴帝之第。属兹来游，恻然予思。风物减耗，殆非昔时。于乡于里，皆非初始。虽非初始，朕自乐此。虽非昔时，朕无异视。瞻恋慨想，祖宗旧宇。属属音容，宛然如睹。童嬉孺慕，历历其处。壮岁经行，恍然如故。旧年从游，依稀如昨。欢诚契阔，旦莫嗟若。吁嗟阔别兮，云胡不乐。
﻿题李伯时三马图卷,金,完颜思敬,古风,古人画马形与骨，今人画马色与肉。唐有韩干笔意高，宋有龙眠可相续。今朝偶见三马图，眼如悬铃漆团曲。短鬃两耳双竹批，风入四蹄如铁蹴。宋伯老苏亦闲雅，赞以诗文过金玉。呜呼安得九方皋，见此应须少回瞩。
﻿赐石右相琚生日之寿,金,完颜允恭,五言律诗,黄阁今姚宋，青宫旧绮园。绣絺归里社，冠盖画都门。善训怀师席，深仁寄寿尊。所期河润溥，馀福被元元。
﻿阙题,金,完颜允恭,七言绝句,心与寥寥太古通，手随轻籁入天风。山长水阔无寻处，声在乱云空碧中。
﻿睿宗功德歌,金,完颜匡,四言诗,我祖睿宗，厚有阴德。国祚有传，储嗣当立。满朝疑惧，独先启策。徂征三秦，震惊来赴。富平百万，望风奔仆。灵恩光被，时雨春旸。神化周浃，春生冬藏。
﻿游龙山御制,金,完颜璟,七言律诗,嵯峨云影几千重，高出尘寰迥不同。金色界中兜率境，碧莲花里梵王宫。鹤惊秋露三更月，虎啸疏林万壑风。试拂花笺为觅句，诗成自适任非工。
﻿水窦岩漱玉亭,金,完颜璟,五言绝句,断岸连苍山，寒岩多积雪。中有万古泉，淙淙声不绝。
﻿云龙川泰和殿五月牡丹,金,完颜璟,七言绝句,洛阳谷雨红千叶，岭外朱明玉一枝。地力发生虽有异，天公造物本无私。
﻿宫中绝句,金,完颜璟,七言绝句,五云金碧拱朝霞，楼阁峥嵘帝子家。三十六宫帘尽捲，东风无处不杨花。
﻿仰山,金,完颜璟,七言绝句,金色界中兜率景，碧莲花里梵王宫。鹤惊清露三更月，虎啸疏林万壑风。
﻿命翰林待制朱澜侍夜饮诗,金,完颜璟,古风,夜饮何所乐，所乐无喧哗。三杯淡�醁，一曲冷琵琶。坐久香成穗，夜深灯欲花。陶陶复陶陶，醉乡岂有涯。
﻿蝶恋花,金,完颜璟,词,几股湘江龙骨瘦，巧样翻腾，叠作湘波皱。金缕小钿花草斗，翠条更结同心扣。金殿珠帘闲永昼，一握清风，暂喜怀中透。忽听传宣须急奏，轻轻褪入香罗袖。评注（点击查看或隐藏评注）
﻿生查子 软金杯词,金,完颜璟,词,风流紫府郎，痛饮乌纱岸。柔软九迥肠，冷怯玻瓈碗。纤纤白玉葱，分破黄金弹。借得洞庭春，飞上桃花面。
﻿西江月 题邯郸王化吕仙翁祠堂,金,完颜从郁,词,壁断何人旧字，炉寒隔岁残香。洞天人去海茫茫。玩世仙翁已往。西日长安道远，春风赵国台荒。行人谁不悟黄粮。依旧红尘陌上。
﻿书蒲城壁,金,完颜奉国,七言律诗,阅兵肄武耀骅骝，仰视莲峰瞷碧流。纵是边陲狼烬灭，暂喧钲鼓角声幽。如貔似虎威风锐，积玉堆蓝爽气浮。未老君恩须重报，终焉更卜隐岩陬。
﻿望海潮 从军舟中作,金,折元礼,词,地雄河岳，疆分韩晋，潼关高压秦头。山倚断霞，江吞绝壁，野烟萦带沧洲。虎旆拥貔貅。看阵云截岸，霜气横秋。千雉严城，五更残角月如钩。西风晓入貂裘。恨儒冠误我，却羡兜鍪。六郡少年，三关老将，贺兰烽火新收。天外岳连楼。想断云横晓，谁识归舟。剩着黄金换酒，羯鼓醉凉州。
﻿题密云州学壁,金,李之翰,七言律诗,崎岖到此兴何堪，况复风谣意未谙。旅舍萧条空自遣，胸怀磊落向谁谈。留连暮雨侵疏牖，宛转飞云埽翠岚。因忆林泉归去好，一灯幽梦绕春潭。
﻿中京遇因长老,金,李之翰,七言律诗,天涯流落偶生还，古刹相逢语夜阑。叹我归途千里远，喜君禅榻一身安。松声不断风吟细，月影无边露气寒。分手山堂更寥索，冷云衰草伴征鞍。
﻿岁暮,金,李之翰,七言律诗,休怪年来白发新，天涯三载困埃尘。偶离沙碛穷阴地，收得桑榆老病身。对雪莫吟秦岭句，拨醅且醉汉江春。此生自断无馀事，何必区区问大钧。
﻿书呈仲孚,金,李之翰,古风,造物固难量，谁能计寒饿。失马乃为福，梦牛翻作祸。长溪霜练静，脩岭苍龙卧。魂梦吾已安，不劳歌楚些。
﻿赠燕,金,李晏,五言律诗,王谢堂前燕，秋风又送归。向人如惜别，入户更低飞。海阔迷烟岛，楼高近落晖。不知从此去，几日到乌衣。
﻿通州道中,金,李晏,五言律诗,冉冉年华老，飘飘客路难。尘埃山色断，云雾日光寒。念远心先折，孤吟鼻亦酸。平生江海意，潦倒愧儒冠。
﻿游龙门回投超化寺二首 其二 ,金,李晏,五言律诗,还邀二三子，共到凿龙游。冷壑泉初动，春岩气欲浮。竹藏深崦寺，人渡晚行舟。始觉山风急，归鞍不自留。
﻿白云亭,金,李晏,七言律诗,白云亭上白云秋，桂棹兰桨记昔游。往事已随流水去，青山空对夕阳愁。兴亡翻手成舒卷，今古无心自去留。独倚西风一惆怅，数声柔橹下汀洲。
﻿题武元直赤壁图,金,李晏,七言律诗,鼎足分来汉祚移，阿瞒曾困火船归。一时豪杰成何事，千里江山半落晖。云破小蟾分树暗，夜深孤鹤掠舟飞。梦寻仙老经行处，只有当年旧钓矶。
﻿游龙门回投超化寺二首 其一 ,金,李晏,七言律诗,精蓝三日饱溪毛，俗累纷纷觉可逃。探水寻源通月冷，披榛得路接云高。山围故垒怀千古，河转孤岩激怒涛。回首烟霞应笑我，人间官职倍徒劳。
﻿潞州形胜,金,李晏,七言律诗,东迎壶口叠群山，吞吐岚光紫翠间。削玉远排圭首锐，晕痕轻拂黛眉弯。五龙飞去松杉老，万井喧嚣日月閒。游客乍醒尘土眼，仙扃谁指扣玄关。
﻿高丽平州中和馆后草亭,金,李晏,七言绝句,藤花满地香仍在，松影拂云寒不收。山鸟似嫌游客到，一声啼破小亭幽。
﻿白岩山 其一 ,金,李晏,七言绝句,只有山光无水声，我疑神物固岩扃。如何凿得飞泉出，当为山僧叱六丁。
﻿白岩山 其二 ,金,李晏,七言绝句,山寺寻春春已归，紫梅犹有折残枝。老僧兀坐如枯木，花谢花开总不知。
﻿题郝文忠公墓,金,李晏,七言绝句,仗节江南羡此行，真州犹稔使君名。隹城郁郁埋西浒，恨不生还苏子卿。
﻿婆罗门引 保德西楼作,金,李晏,词,汗融畏日，岂知高处有风清。倚阑襟袖凉生。坐上看崩云脱坏，不碍乱峰青。待目穷千里，却怕伤情。河汾古城。听裂岸、怒涛惊。好是烽沉幽障，鼓卧边亭。西楼老子，更无用、胸中十万兵。酒到处、莫放杯停。
﻿虞美人,金,李晏,词,佳人酒晕红生颊。滟滟霞千叠。雨馀红泪湿黄昏。误认当年人面、倚朱门。飘零又送青春暮。怅望刘郎去。教人不恨五更风。只恨马蹄无处、避残红。
﻿鹧鸪天,金,李晏,词,苒苒萋萋雨后村。芳尘不到五侯门。曾随晓泪撩诗思，又向春风入烧痕。春去后，忆王孙。啼红南浦记芳温。夕阳楼外连天远，乞与骚人怨楚魂。
﻿菩萨蛮 回文,金,李晏,词,断肠人去春将半。归客倦花飞。小窗寒梦晓，谁与画愁眉。
﻿清水寒食感怀,金,李献可,七言绝句,桃花零乱柳成阴，人到春深思更深。芳草戍楼天不尽，异乡寒食故乡心。
﻿召还过故关山,金,李献可,七言绝句,过关天日正晴明，谁道山神不世情。远客得归心绪别，陇泷閒作断肠声。
﻿雨中与客饮,金,李好复,七言律诗,门外平桥一水分，数声渔唱隔溪闻。暖风落絮飘香雪，小雨沾花湿梦云。酿具未甘名长物，诗坛聊欲张吾军。相逢莫惜通宵饮，明日閒身不属君。
﻿邵智夫同游南城,金,李好复,七言绝句,园林晴昼蔚如烟，林外支流尽水田。落日趁墟人已散，鹭鸶飞上渡头船。
﻿嗅梅图,金,李仲略,七言绝句,胧胧霁色冷黄昏，缺月疏篱水外村。人在天涯花在手，一枝香雪寄销魂。
﻿莲塘陪诸公赋,金,李仲略,七言绝句,潦倒何堪接俊游，神仙空羡李膺舟。官曹只在空湖畔，簿领如山屋打头。
﻿观音院书阁,金,李著,七言律诗,门巷蓬蒿一尺深，小轩岑寂似山林。鸟声落枕有高下，山色阅人无古今。客里三年侵老境，床头一易浣尘襟。晚凉痴坐忘言里，满地西风白玉簪。
﻿宴会成趣园诗,金,李永安,七言律诗,花木幽深远市尘，个中清隐作閒人。忘情势利居安易，寓意琴书得味真。成趣已追陶令迹，放怀无愧葛天民。他年若遂归休愿，好向东皋卜近邻。
﻿宴会成趣园诗,金,李永安,古风,渊明晋名流，贤达早自悟。一为折腰屈，幡然赋归去。亲戚说情话，园涉日成趣。陈迹固已远，赏音者稀遇。君独慕高节，隐居事田圃。亭轩喜幽静，绿荫多佳树。三径时往还，花香袭杖屦。所适忻有得，忘言心自豫。榜园固无愧，古雅见风度。顾我老将至，区区犹仕路。会当勇退归，卜邻就佳处。
﻿妆台联句,金,李宸妃,句,二人土上坐，一月日边明。
﻿渔父,金,李节,七言律诗,举世从谁话独醒，短蓑轻箬寄馀生。半篙春水世尘远，一笛晚风山雨晴。稚乳满船生事简，鱼虾到市利源轻。旁人莫怪机心少，曾与沧洲白鸟盟。
﻿有感,金,李节,七言律诗,乱离何事最堪伤，孝子陵前段氏庄。铸铁作门贻鬼笑，堆金齐斗买天亡。春风草满藏书壁，落日狐鸣打麦场。惆怅贤郎一丘土，过车肠痛独难忘。
﻿满江红,金,李节,词,纸帐温，春睡稳，窗槐摇绿。吾老矣，不堪重著，翠围红簇。千古清风荆布在，一家乐事糟糠足。笑杜陵、憔悴漫多情，须燕玉。求凰意，传新曲。骖鸾梦，从渠续。问临邛何贱，会稽何辱。畎亩岂无天下士，斧斤不到山中木。但莫教、风雨两雏鸠，危枝宿。
﻿太白扇头,金,李端甫,七言绝句,岩冰涧雪谪仙才，碧海骑鲸望不回。今日霜纨见遗像，飘然疑自月中来。
﻿漫书,金,李澥,七言绝句,胸怀平日窗八达，伎俩只今龟六藏。唯有閒情如老菊，寒花自信晚能香。
﻿二老雪行图,金,李澥,七言绝句,雪明万仞邺西山，杖履平生几往还。满眼京尘空对画，何时真似两翁閒。
﻿秘书张监墨梅图,金,李澥,七言绝句,眼中只有梅千树，不挂世间蜂蝶花。十载江南春梦断，至今清影在君家。
﻿灯下梅影,金,李澥,七言绝句,丁年夜坐眼如鱼，老矣而今不读书。墙角短檠还有用，瓦瓶相对一枝疏。
﻿宴会成趣园诗,金,李楫,七言律诗,萧然三径足云烟，须信壶中别有天。柳暗花秾随杖履，月明风细入毫笺。亭轩侈靡非金谷，交友清真似白莲。我亦老来当办此，挂冠何日得归田。
﻿杂诗五首 其一 ,金,李经,古风,长河老秋冻，马怯冰未牢。河山吟鞭底，日莫风更号。
﻿杂诗五首 其二 ,金,李经,古风,晨井冻不爨，谁疗壮士饥。天厩玉山禾，不救我马尵。
﻿杂诗五首 其三 ,金,李经,古风,尘埃汩没伺候工，离骚不振矜鱼虫。风云谁复话蓍蔡，不图履狶哀屠龙。挟笺搦管坐书空，咿嚘堂上酣歌钟。乃知造物戏儿童，不妨远目送归鸿。莫怪魏瓠无所容，此去未许江船东。五经不埽途辙穷，门庭日月生皇风。太阿剖室砺以石，坐埽鹳鹤摇天雄。
﻿杂诗五首 其四 ,金,李经,古风,岩椒郁云，日夕生阴。雨雪缟夜，秋黄老林。人烟墨突，樵径云深。
﻿杂诗五首 其五 ,金,李经,古风,造物开岩地，岩帐掩剑壁。苔花张古锦，霜苦老秋碧。日夕云窦阴，风鼓泉涌石。马蹄忌硗确，樵道生枳棘。盘盘出井底，回首怅如失。长老不耐事，底事挂尘迹。披云出山椒，白鸟表林隙。
﻿雁奴,金,李经,古风,雁奴失寒更，拍拍叫秋水。天长梦已尽，秋思纷难理。
﻿赠国医张子和,金,李夷,七言律诗,禁籞喧喧以字行，粗工往往笑狂生。天将借手开金匮，云本无心到玉京。歌啸动成千日醉，留连翻厌五侯鲭。祝君莫触曹瞒怒，世上青黏要指名。
﻿古剑,金,李夷,七言律诗,古栅崖摧老雨天，匆惊神物茁蒲然。蛇吞元气蛰千载，龙逐奔霆脱九泉。逆首未归豪馘里，铗歌聊发慨弹边。物犹屡出为时用，抚匣潸然惜壮年。
﻿书渊明传后,金,李夷,七言律诗,南渡龙孙角秃颠，不甘横毙寄奴弦。一襟义气麾周粟，满简清风削宋年。雪径低回松落落，霜篱健羡菊鲜鲜。时屯谧辈轻颓节，颜厚吾家草木贤。
﻿赠王南云,金,李夷,七言律诗,肮脏风仪古丈夫，鹤袍铁面戟髭须。人间春色向头剩，天上月明当额孤。石鼎夜联诗句健，布囊春醉酒钱粗。危楼试看街头月，应见潜飞入玉壶。
﻿荅祁定之韵,金,李俊民,五言律诗,黄菊催秋暮，青山劝客归。事随时渐改，人与物皆非。爽气收残暑，闲云送落晖。平生会心似，别后往来稀。
﻿游太平泉,金,李俊民,五言律诗,稍有林泉兴，相陪杖屦游。百年人易老，千种事堪愁。是处花无主，谁家酒可篘。芳时好行乐，春去不能留。
﻿宿夹谷彦实庵,金,李俊民,五言律诗,挂名仙籍上，晦迹茂林閒。门外丹河水，墙头明月山。境随心自远，人与话俱闲。应笑红尘客，区区谩往还。
﻿乙未冬至,金,李俊民,五言律诗,已应黄宫律，初生复卦阳。道随天在北，愁与日俱长。节物惊时换，年光有底忙。浮云多变态，试与问何祥。
﻿河桥成 其一 ,金,李俊民,五言律诗,预积他山木，重新两岸堤。龙依天上卧，虹傍水心低。不假鞭秦石，何劳立蜀犀。落成应有日，谁向柱先题。
﻿河桥成 其二 ,金,李俊民,五言律诗,河广思同济，天寒怕涉冬。冰虽将自合，船尚不宜从。柱引来归鹤，渊藏未跃龙。一编圮上叟，千载愿相逢。
﻿河桥成 其三 ,金,李俊民,五言律诗,势截长河浪，横陈百步梁。经营方断手，过涉不褰裳。漫惜千金瓠，休誇一苇航。西风箫鼓咽，奠酒水仙堂。
﻿任仲山弄璋,金,李俊民,五言律诗,奕世多阴德，传家得宁馨。人閒熊有梦，天上昴无星。喜洽犀钱座，光生玉树庭。钟情笑卢老，白发望添丁。
﻿癸巳冬至 其一 ,金,李俊民,五言律诗,共愁天纪乱，依旧日南时。气本自然应，策今谁可推。每怀添线女，还意覆杯儿。偃蹇无归计，天涯两鬓丝。
﻿五哥生日,金,李俊民,五言律诗,落落青云器，天然骨骼奇。自从怀橘后，每恨学书迟。同乐怜荆树，相煎笑豆萁。气豪常自许，跃马是男儿。
﻿代四哥赠,金,李俊民,五言律诗,相戒南陔养，长看花萼辉。义深姜季被，恩重老莱衣。队似鱼同戏，行如雁共飞。读书当自勉，继取锦堂归。
﻿元夜有感,金,李俊民,五言律诗,春城行欲遍，百感到愁边。市冷犹灯火，人稀尚管弦。梅从今夜落，柑忆旧时传。归去西窗月，无情照不眠。
﻿四哥生日,金,李俊民,五言律诗,秀出三株树，芳联五桂枝。杜家怜骥子，徐氏重麟儿。已有高门望，方当志学时。一杯添寿酒，满酌不须辞。
﻿寒食,金,李俊民,五言律诗,为恋风光好，那堪节物催。事随浮世往，花似去年开。莫洒无家泪，须倾有限杯。诗人多少兴，都向醉中来。
﻿九日下山,金,李俊民,五言律诗,宰肉陈平社，折腰元亮乡。车无门外辙，菊与径皆荒。所恨国难守，若为家不忘。天威寒气逼，急急下山阳。
﻿王生寿日,金,李俊民,五言律诗,几度县弧节，当年琢玉郎。徐行知礼让，幼学爱文章。莫厌鱼同队，休随燕入堂。眉间色多喜，禁脔近东床。
﻿过云中,金,李俊民,五言律诗,把酒不成醉，出门行路难。客愁千里破，归梦五更残。三仕有何喜，一生常鲜欢。恨无南去雁，为我报平安。
﻿游碧落,金,李俊民,五言律诗,寂历松閒寺，临流胜槩藏。断云开石壁，横吹爽溪堂。谩与诗情在，留连道话长。行人贪吊古，归路半斜阳。
﻿游青莲 其一 ,金,李俊民,五言律诗,闲携方外友，同谒梵王宫。山吐三更月，松摇万壑风。流年飞鸟过，浮世落花空。不有归来兴，何能见远公。
﻿游青莲 其二 ,金,李俊民,五言律诗,行处春风恶，山中胜槩藏。渐佳如蔗尾，薄险似羊肠。翠揖双峰角，清临一水堂。夜长僧睡少，为我话兴亡。
﻿九里谷,金,李俊民,五言律诗,九曲羊肠路，千层剑戟山。行钩藤蔓刺，坐印石花斑。树发三春暮，云归万壑闲。相陪林下屐，虽倦不知还。
﻿宿海会寺 其一 ,金,李俊民,五言律诗,佛堂光未放，桑下唤难回。是处皆堪歇，何山不可开。泉因龙吐出，经自兔衔来。径向黄沙过，寻僧问劫灰。
﻿宿海会寺 其二 ,金,李俊民,五言律诗,青山云水窟，杖锡几时来。竹待香严击，松经道者栽。西江无水吸，震旦忽花开。三笑图中友，同倾破戒杯。
﻿食芡,金,李俊民,五言律诗,池底休铺锦，鸡头自有栽。柔中皆水性，刚外乃天才。精彩惟鱼目，珠圆出蚌胎。坐间咄嗟致，不似荔枝来。
﻿八日登山同谒吴王祠,金,李俊民,五言律诗,老树凋残尽，灵祠寂历中。古今时易改，幽显意能通。岁享屡登乐，俗追三让风。送迎人散后，日落乱山空。
﻿上长平寄杨成之,金,李俊民,五言律诗,衰迟长在外，矍铄愧征鞍。世路惊心恶，天风刮面寒。迢迢人渐远，冉冉岁将残。今夜梅稍月，同谁共倚栏。
﻿独坐,金,李俊民,五言律诗,地偏无俗客，日在掩柴扉。暑退闲蒲扇，凉生换葛衣。风高云散影，露下月扬辉。独据胡床坐，心清即道机。
﻿阳城怀旧 其一 ,金,李俊民,五言律诗,路梗伤时事，春归感物华。风波千万丈，烟火两三家。树杪失巢燕，墙根无主花。当年人不见，何处是生涯。
﻿阳城怀旧 其二 ,金,李俊民,五言律诗,道途行处恶，故旧别来稀。涧口分流水，林梢挂落晖。好山留客住，幽鸟背人飞。门外秋光老，征鞍尚不归。
﻿乙亥过河,金,李俊民,五言律诗,一身长道路，四海尚风尘。昔作依刘客，今为去鲁人。渡河年在亥，乞酒岁非申。别后山中友，相逢话又新。
﻿河阳呈苗简叔,金,李俊民,五言律诗,妖氛长斗北，杀气尚河东。人物不如古，地图祗自雄。三城环野水，二麦卧天风。多少逃亡屋，荒凉晚照中。
