标题,朝代,作者,体裁,内容
﻿同姚公茂徐沟道中联句,金,元好问,五言律诗,路转川涂阔，天低雨气昏。绵山连汉垒，汾水入并门。来往频鞍马，登临负酒樽。联诗强一笑，凄绝恐销魂。
﻿月观追和邓州相公席上韵,金,元好问,五言律诗,月观知名旧，池亭发兴偏。露凉惊夜鹤，风细咽秋蝉。绿泛兵厨酒，红依幕府莲。无缘逐清景，空羡饮中仙。
﻿方城道中怀山中幽居,金,元好问,五言律诗,技拙违时用，年饥与食谋。江山贫士叹，日月贾胡留。楚客频招隐，文园故倦游。衡门足幽事，还我北窗秋。
﻿阳泉栖云道院,金,元好问,五言律诗,方外复方外，翛然心迹清。开窗纳山影，推枕得溪声。川路远谁到，石田平可耕。霜林不嫌客，留看锦峥嵘。
﻿甲午除夜,金,元好问,七言律诗,暗中人事忽推迁，坐守寒灰望复燃。已恨太官余曲饼，争教汉水入胶船？神功圣德三千牍，大定明昌五十年。甲子两周今日尽，空将衰泪洒吴天。
﻿过诗人李长源故居,金,元好问,七言律诗,楚些招魂自往年，明珠真见抵深渊。巨鳌有铒虽堪钓，怒虎无情可重编。千丈豪气天也妒，七言诗好世空传。伤心鹦鹉洲边泪，却望西山一泫然。
﻿别程女,金,元好问,七言律诗,芸斋淅淅掩霜寒，别酒青灯语夜阑。生女便知聊寄托，中年尤觉感悲欢。松间小草栽培稳，掌上明珠弃掷难。明日缑山东畔路，野夫怀抱若为宽？
﻿晋溪,金,元好问,七言律诗,石蹬云松著色屏，岸花汀草展江亭。青瑶叠甃通悬瓮，白玉双龙掣迅霆。地脉何尝间今昔，尾闾真解泄沧溟。乾坤一雨兵尘了，好就川妃问乞灵。评注（点击查看或隐藏评注）
﻿雁门关外,金,元好问,七言律诗,四海于今正一家，生民何处不桑麻。重关独居千寻岭，深夏犹飞六出花。云暗白杨连马邑，天围青冢渺龙沙。凭高吊古情无尽，空对西风数去鸦。评注（点击查看或隐藏评注）
﻿咏怀,金,元好问,七言律诗,凉叶萧萧散雨声，虚堂淅淅掩霜清。黄华自与西风约，白发先从远客生。吟似候虫秋更苦，梦和寒鹊夜频惊。何时石岭关头路？一望家山眼暂明。
﻿帝城,金,元好问,七言律诗,帝城西下望孤云，半废晨昏愧此身。世俗但知从仕乐，书生只合在家贫。悠悠未了三千牍，碌碌翻随十九人。预遣儿书报归日，安排鸡黍约比邻。
﻿仆射陂醉归即事,金,元好问,七言律诗,多生曾得江湖乐，每见陂塘觉眼明。诗酒共寻前日约，风阴新自夜来晴。春波澹澹沙鸟没，野色荒荒烟树平。醉踏扁舟浩歌起，不须红袖出重城。
﻿春日,金,元好问,七言律诗,里社春盘巧欲争，裁红晕碧助春情。忽惊此日仍为客，却想当年似隔生。贫里齑盐怜节物，乱来歌吹失欢声。南州剩有还乡伴，戎马何时道路清。
﻿横波亭为青口帅赋,金,元好问,七言律诗,孤亭突兀插飞流，气压元龙百尺楼。万里风涛接瀛海，千年豪杰壮山丘。疏星澹月鱼龙夜，老木清霜鸿雁秋。倚剑长歌一杯酒，浮云西北是神州。
﻿野菊，座主閒閒公命作 其一 ,金,元好问,七言律诗,柴桑人去已千年，细菊班班也自圆。共爱鲜明照秋色，争教狼藉卧疏烟。荒畦断垄新霜后，瘦蝶寒螀晚景前。只恐春丛笑迟暮，题诗端为发幽妍。
﻿野菊，座主閒閒公命作 其二 ,金,元好问,七言律诗,晚景萧疏画不成，晚花作意出繁英。鲜明独向霜露见，烂熳�随蒿艾生。南国骚人知有待，西风蝴蝶更多情。南山正在悠然处，安得芳樽与细倾。
﻿叶县雨中,金,元好问,七言律诗,春旱连延入麦秋，今朝一雨散千忧。龙公有力回枯槁，客子何心叹滞留。多稼即看连楚泽，归云应亦到崧丘。兵尘浩荡乾坤满，未厌明河拂地流。
﻿颍亭,金,元好问,七言律诗,颍上风烟天地回，颍亭孤赏亦悠哉。春风碧水双鸥静，落日青山万马来。胜概销沈几今昔，中年登览足悲哀。远游拟续骚人赋，所惜匆匆无酒杯。
﻿昆阳二首 其一 ,金,元好问,七言律诗,古木荒烟集暮鸦，高城落日隐悲笳。并州倦客初投迹，楚泽寒梅又过花。满眼旌旗惊世路，闭门风雪羡山家。忘忧只有清尊在，暂为红尘拂鬓华。
﻿昆阳二首 其二 ,金,元好问,七言律诗,去日黄花半未开，南来忽复见寒梅。淹留岁月无馀物，料理尘埃有此杯。老马长途良惫矣，白鸥春水亦悠哉！商馀说有沧洲趣，早晚乾坤入钓台。
