标题,朝代,作者,体裁,内容
圜丘歌八首 其五 文舞,隋,牛弘等奉诏作,四言诗,皇矣上帝，受命自天。睿图作极，文教遐宣。四方监观，万国陶甄。有苗斯格，无得称焉。天地之经，和乐具举。休徵咸萃，要荒式序。正位履端，秋霜春雨。
圜丘歌八首 其六 需夏,隋,牛弘等奉诏作,四言诗,礼以恭事，荐以飨时。载清玄酒，备絜芗萁。回旒分爵，思媚轩墀。惠均撤俎，祥降受厘。十伦以具，百福斯滋。克昌厥德，永祚鸿基。
圜丘歌八首 其七 武舞,隋,牛弘等奉诏作,四言诗,御历膺期，乘乾表则。成功戡乱，顺时经国。兵畅五材，武弘七德。憬彼遐裔，化行充塞。三道备举，二仪交泰。情发自中，义均莫大。祀敬恭肃，钟鼓繁会。万国斯欢，兆民斯赖。享兹介福，康哉元首。惠我无疆，天长地久。
五郊歌五首 其一 青帝歌角音,隋,牛弘等奉诏作,四言诗,震宫初动，木德惟仁。龙精戒旦，鸟历司春。阳光煦物，温风先导。岩处载惊，膏田已冒。牺牲丰絜，金石和声。怀柔备礼，明德惟馨。
五郊歌五首 其二 赤帝歌徵音,隋,牛弘等奉诏作,四言诗,长嬴开序，炎上为德。执礼司萌，持衡御国。重离得位，芒种在时。含樱荐实，木槿垂蕤。庆赏既行，高明可处。顺时立祭，事昭福举。
五郊歌五首 其三 黄帝歌宫音,隋,牛弘等奉诏作,四言诗,爰稼作土，顺位称坤。孕金成德，履艮为尊。黄本内色，宫实声始。万物资生，四时咸纪。灵坛泛扫，盛乐高张。威仪孔备，福履无疆。
五郊歌五首 其四 白帝歌商音,隋,牛弘等奉诏作,四言诗,西成肇节，盛德在秋。三农稍已，九谷行收。金气肃杀，商威飂戾。严风鼓茎，繁霜陨蒂。厉兵诘暴，敕法慎刑。明神降嘏，国步惟宁。
五郊歌五首 其五 黑帝歌羽音,隋,牛弘等奉诏作,四言诗,玄英启候，冥陵初起。虹藏于天，雉化于水。严关重闭，星回日穷。黄钟动律，广莫生风。玄樽示本，天产惟质。恩覃外区，福流京室。
諴夏,隋,牛弘等奉诏作,四言诗,禘祖垂典，郊天有章。以孟之春，于国之阳。茧栗惟诚，陶匏斯尚。人神接礼，明幽交畅。火灵降祚，火历载隆。烝哉帝道，赫矣皇风。
雩祭歌 其二 諴夏二首,隋,牛弘等奉诏作,四言诗,四方有祀，八蜡酬功。收藏既毕，榛葛送终。使之必报，祭之斯索。三时告劳，一日为泽。神祗必来，鳞羽咸致。惟义之尽，惟仁之至。年成物阜，罢役息民。皇恩已洽，灵庆无垠。
方丘歌四首 其二 登歌,隋,牛弘等奉诏作,四言诗,道惟生育，器乃包藏。报功称范，殷荐有常。六瑚已馈，五齐流香。贵诚尚质，敬洽义章。神祚惟永，帝业增昌。
方丘歌四首 其三 諴夏,隋,牛弘等奉诏作,四言诗,厚载垂德，昆丘主神。阴坛吉礼，北至良辰。鉴水呈絜，牲栗表纯。樽壶夕启，币玉朝陈。群望咸秩，精灵毕臻。祚流于国，祉被于人。
